Sample	Gene0	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9
Sample0	-1.0105657214	1.09702214514	-1.07906502006	124.685193561	88.2461955685	-26.0604594616	35.3242023967	110.420226773	-111.260717193	-72.1040435124
Sample1	1.94955919561	1.25112754539	0.250615146252	-95.7221710405	-86.6694671363	49.5283505468	21.8916668305	28.1472863116	121.054926073	-163.285397206
Sample2	2.3563431731	1.53566283448	1.00133860097	-225.650983037	28.0724799224	-152.921851961	199.558365283	113.71456634	-72.0915334811	66.3320454678
Sample3	3.78911483366	1.0671278642	3.28639151592	200.487358453	-90.8693940745	-71.1611434284	60.7753552572	240.820514965	175.801251373	173.571384381
Sample4	2.01597865751	0.87282130866	4.41282811667	52.3368660217	-15.07737701	-114.701159397	-136.885405853	36.2579991812	142.424770456	6.20564154298
Sample5	3.35225551495	2.79928029494	3.67664947146	-103.941536643	42.6814877703	-22.5266290903	28.6101826246	-172.920967188	36.3728859459	62.6873313487
Sample6	3.66734058106	3.10965256652	2.86198390025	39.8348704351	-21.8739402381	99.7714358124	-153.000422024	-267.125288268	-58.0561023983	-95.1261205004
Sample7	4.83207773445	5.26473218384	3.15753464891	-145.364135115	-61.6830205285	-137.255787481	-111.933582426	-227.477965349	11.2644396866	79.0226524887
Sample8	3.07652215622	5.80176568484	3.6594177276	40.6030517141	-73.377528886	17.5710299528	381.320387827	-16.3284670772	156.232733418	-193.284221435
Sample9	3.01419423099	4.17640565851	4.81005150416	89.4504033516	76.7050098435	-81.6193924918	10.3126841262	29.9722425049	45.5801346606	90.127481621
Sample10	5.02986371811	6.24102266689	4.88155773231	-53.9737707903	-312.422269565	27.5694816181	-9.68292162368	124.341154385	63.2132620565	274.234920142
Sample11	6.16765945762	5.42994049655	3.97340848423	-24.7123737468	-57.1706658177	-85.6858083585	-90.4679517469	60.5182030214	160.800832543	5.24465609878
Sample12	5.42473793999	5.50456935044	4.84990997711	-96.4416995476	-132.489492571	-177.993048089	33.2773260922	-92.8396762495	37.3260983313	-109.363112652
Sample13	8.06328455082	6.28171197004	4.21295492517	-173.038302658	127.071835553	-102.168085721	74.7597154804	-203.356924686	241.758834364	-172.39215489
Sample14	8.51999618584	7.59467288669	5.762838828	39.5870121706	-19.0893305506	107.301308634	136.186142861	67.2907650052	-111.030983973	-39.9709760844
Sample15	7.44760858321	8.1134294262	5.21253975737	-66.5620289058	177.887266373	-12.7027126433	92.5470223507	-19.3487082392	-206.446982987	46.258791404
Sample16	8.16062225215	8.20825608288	7.88182142764	30.2813197044	-70.6558600286	311.086276136	-42.1904484548	-127.25925374	117.008945552	145.722238908
Sample17	8.71633201229	8.43022631308	7.99321789792	-110.173494166	-120.655522901	24.5545416811	276.446580751	14.8598114332	-144.876507684	191.874257963
Sample18	8.66669113131	8.72513758804	6.95681636323	17.2910332885	-63.2617010272	-75.628479678	26.7054778631	-38.5449471059	12.4764724306	-98.3779079648
Sample19	8.65224140417	9.53057237026	9.22768262723	99.7291195043	-51.3940666337	-131.250920346	106.941146911	156.194459181	-61.9557264653	-228.980810435
Sample20	8.99162128195	10.0209976016	8.79539468972	-153.629861785	32.7228398437	208.89939729	-218.975624195	-17.5754624758	50.6775647343	130.182411001
Sample21	7.67767931009	11.065112907	8.73149534361	-24.1988331302	-231.269541414	-70.650676232	-12.8202642446	-126.961274433	23.2246365374	-112.347405767
Sample22	11.071642861	10.7288254046	9.34957512734	110.697519615	35.1985247066	-58.1667324551	47.9297643726	52.2224756763	59.6002891566	-173.517643672
Sample23	13.5906776811	13.2224631332	9.71071137247	-35.9392792524	-27.8634808824	116.582322039	36.7032134275	37.8763479042	144.042250913	-15.2237761695
Sample24	10.6381676251	11.7695446517	11.4801022925	78.3373906189	-68.5050808873	-46.0509151828	-140.117083974	-59.0305225194	-0.723757476836	-40.468469541
Sample25	13.0779240392	12.0191618009	12.207472326	-7.48255373083	-75.0851854409	81.089051085	-101.787698696	36.9850530017	-164.71047488	-263.505202156
Sample26	12.006202282	11.5129966706	11.2251304425	20.841625546	-136.400643119	-4.21335675353	9.36567710394	117.775385855	58.4004539567	-114.332121458
Sample27	11.3179038295	12.7563845261	10.3783876938	-143.864031389	-154.731077425	101.686779227	-13.4963761382	52.2642254273	112.437280794	-223.696711622
Sample28	15.3529026216	14.2733119311	12.2948368099	176.403457162	-117.980806462	147.932240161	134.510829004	-184.521738052	141.707816153	-340.555128531
Sample29	14.5698271297	13.7734284888	14.0195929702	170.123549752	-83.2182911201	-151.917296868	-30.2412234307	-101.981156925	152.83386342	-76.4365445654
