Sample	Gene0	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9
Sample0	-38.1746688078	120.40086661	-86.5850506654	22.6062084693	-37.9279683043	-85.7609282289	-24.7429096167	146.747966117	124.082930944	487.286675547
Sample1	51.3013756658	-36.4629641749	22.1457220641	-153.99961679	-32.5952265086	69.3966838307	-83.5861314431	-115.760472246	-102.037814227	-586.204431142
Sample2	24.8656510133	-12.2168862503	-45.8515347408	4.35542653625	-30.5209606646	-45.2925342749	503.575710988	38.0686641907	-75.0895811805	-659.600737703
Sample3	71.6708441723	-24.3442052692	43.7461765333	20.7751324437	25.5782010597	-55.1214347078	48.4619393209	-566.354654642	-137.507000094	346.546433695
Sample4	-7.55746528202	-12.9099490656	-44.5517207995	-28.8339014828	22.6009803842	10.2243065926	-1054.11168618	166.219924251	116.947604076	604.35148948
Sample5	72.9433490365	20.4972470176	35.0515074945	-145.499817033	-85.165372556	145.516403069	630.847506155	154.708263902	-217.719006832	-853.786000287
Sample6	10.2579809566	80.0036778139	41.5612870383	-40.2831172932	31.6275119416	3.29696070384	16.6245705361	0.121334322863	17.8299674941	33.8002325557
Sample7	114.600224409	-45.3743202634	-77.1063230598	53.3337803152	-30.1244362792	-60.6782859634	124.490522597	-319.3776064	100.772029206	309.474699582
Sample8	138.852458659	39.1140331808	-57.8907198841	6.14600982398	-54.1706300619	1.57633637106	-59.0597307449	-172.743989968	63.0846787172	203.079450531
Sample9	-48.5262933926	-86.0577382169	116.541937076	-37.6040208017	12.8995539837	-43.7625750991	-319.493821213	227.364421921	-132.839816196	133.109344143
Sample10	9.53371138915	-53.5968412385	-69.438027196	51.3401590006	39.6562650975	112.193131874	39.9565273622	553.077949299	-38.1012008428	-588.652326577
Sample11	180.054318968	160.058070009	128.698821642	-153.979804838	-74.4922849116	41.5589603301	5.1010512821	-283.51047329	-65.0760943451	-450.849334833
Sample12	-257.843690027	-129.023970799	-42.2943864325	3.96035321042	-149.016015219	-35.863494181	721.261732167	251.936923302	-126.130006864	-818.203643848
Sample13	224.768087576	53.6324511363	-90.278599597	21.1014388799	60.3263940151	-1.37842518337	139.029008409	-103.499605291	-24.7295483879	378.033531321
Sample14	36.9395815969	-87.4096283468	-50.7780367815	-119.126874772	0.474837872385	-14.9849000337	-317.170603933	-179.061375945	35.8921344211	44.2120198483
Sample15	87.5159688428	8.49081657377	13.5389650912	-15.5499254808	10.6085373233	99.6647148755	-136.399662705	-432.477311342	81.2617973867	-400.285515381
Sample16	151.902898311	43.1403007356	-47.6295713749	34.5161056731	-1.83304003111	-2.68848369594	-66.2074895417	-329.513566809	-30.3338513044	-396.574394579
Sample17	-27.9794341472	22.0493650658	34.4458499343	16.8723653375	54.7594783436	-11.3500947074	22.4207617114	-41.2826425032	-25.4168482269	36.6104043025
Sample18	389.230416146	-36.2550964622	1.27982438092	50.0596866524	98.823493411	-55.5229515183	-208.098019272	-1054.35345225	85.6425783179	409.334498062
Sample19	-108.087180013	-23.0083491265	112.764684335	-68.8880182949	-4.22355504266	110.29833015	1015.99381646	-125.681236589	-315.080499888	-477.889189904
Sample20	-8.44028752218	-28.1566969519	-30.5425896557	13.0163552998	115.446416306	-3.3228089024	-718.743779859	-815.90164315	23.6203238799	614.28549099
Sample21	102.50159711	147.087128172	185.409456212	-167.022911664	-35.1753118443	19.6515182682	124.678192255	555.639102143	-49.0720429381	-127.961381307
Sample22	-4.08975308234	-193.181167788	2.47016998177	64.4899745546	13.4086071443	0.647719004572	82.1137425999	-165.942966622	119.22946264	136.87671618
Sample23	-2.67499714337	-48.4415320652	-35.821450161	21.5069170029	31.3341243703	-39.469334771	5.80299626701	-25.8643307674	6.38595807588	16.4633592714
Sample24	-31.3556353316	-21.9479093467	-78.7865350545	-29.5368080889	-30.1201243684	-3.28390750305	250.733803199	22.2810020121	-10.2829711104	-480.14114478
Sample25	-27.9367988126	83.0136203406	7.17368654248	1.68231546272	32.9193786672	-15.8423423114	51.1882252626	-28.9244881003	-40.6398194273	-18.5888592668
