Sample	Gene0	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9
Sample0	1.44426569712	0.968533798386	0.20908413013	130.263890164	-244.772890779	653.575708368	-302.895745582	-383.642146553	-112.31599345	401.162092144
Sample1	2.38382951075	1.11061124003	-0.171413126951	589.063731707	157.116281819	-100.152162838	249.925412903	-223.019521192	474.290458067	-32.6428331718
Sample2	3.05601537824	-1.24851953771	0.574685930341	-237.619385879	-37.3203365732	315.060513793	276.825443433	-483.276543748	298.425220099	263.982689878
Sample3	-0.312926388595	2.39655338624	3.43685003765	3.07197605037	362.759095235	223.341658839	-360.089967826	-138.348183841	-216.743245725	-61.0736712515
Sample4	1.70025290629	2.74800216222	2.35472692253	125.37471411	704.845917319	50.0056010316	152.809803613	-292.017819191	-158.150892234	113.666051059
Sample5	2.97816713761	2.72826698495	3.59538440944	486.515676886	-168.247698925	-504.366738302	116.645736313	-81.7648798873	126.577141343	157.604163586
Sample6	4.33711962206	3.64051167373	4.01963591751	39.4580506094	-77.58763659	-320.629354612	-5.07978061731	-316.335406449	-80.9575469511	-245.008223583
Sample7	3.47193911007	4.24880791484	0.636357219366	-321.278602439	-341.791267775	3.61795711725	-101.852452321	-104.939439645	-349.182085591	209.703490838
Sample8	4.68534099481	4.06605343943	2.71220845684	54.1489571068	-159.861239287	-113.031182818	43.7756750157	-3.13796437523	-160.222797177	163.175947108
Sample9	3.87239065021	6.26670790475	4.77788044521	-399.528011815	307.282430143	306.07060607	108.532919493	547.958817992	285.715413157	-72.9812792701
Sample10	5.62776668949	7.13006442238	3.97302225927	-410.421597533	452.230832607	125.440284912	-254.651910877	-550.274419276	297.109042521	-6.10650327264
Sample11	5.25739123272	4.93210343735	4.06093724146	272.879060265	-249.018040364	43.4517341708	-134.231583012	-79.4630959916	-206.735619514	-94.8805381111
Sample12	5.5948745908	6.54488169783	4.64128368279	288.100987958	226.176268384	392.844970593	-67.3579607636	-138.208541149	168.847464212	53.5765403202
Sample13	5.91415942876	7.45129361403	3.73628022161	439.574286127	-293.416539686	572.277022677	-72.572208648	-5.54558851782	212.422468473	283.752845612
Sample14	9.1669639282	7.57871176498	5.3385304944	-258.269862078	334.718722894	-0.726688762055	-554.976067514	-11.0680273447	-118.302077808	394.408093508
Sample15	7.58942849633	8.4067922498	5.18877897634	247.85444484	-517.174396115	139.538626473	-2.72056338963	-464.09112415	120.485575402	14.1822147615
Sample16	9.19232358635	6.88609044494	8.5699456994	72.9549613087	198.531102133	172.152209232	-6.42461097072	-188.201174371	-158.869991238	-278.940314234
Sample17	9.46278696584	8.0948281077	6.97498276535	-22.7633745105	-165.982036913	-325.492927066	183.176954491	204.759528823	-24.2600652761	-213.779944176
Sample18	8.66746151033	9.17320880737	8.94042671923	540.199475428	-415.255386297	18.1239668843	341.573500711	-167.552007174	262.858865663	-229.907549769
Sample19	8.98774296198	10.3850632123	8.1900624805	-423.97198556	236.923137973	95.2008788045	398.318553413	-84.4233656965	-103.304882013	-230.536863013
Sample20	9.76770297249	11.7471328588	7.43129207659	205.069015778	-4.33524102351	-307.443651172	16.4715315374	151.000007381	-86.5761887679	124.848235739
Sample21	10.6864997737	11.1894452057	9.79710431809	45.1897660031	185.797576579	-122.215198073	-142.755039057	-713.749930015	-396.065510406	180.787236416
Sample22	11.8230554678	11.7901078659	9.72058787942	-101.671024256	-204.868654936	-142.877321198	418.244655411	-35.7307656214	-119.656554196	-430.074731729
Sample23	11.3847478181	12.6203330864	10.7837603845	-2.13384493196	334.608989466	99.568956891	-222.287664694	-29.5145203968	-119.275689723	-417.358798992
Sample24	12.4936861466	11.3309014324	9.39979995798	82.0004708332	-82.5336008777	-271.866820281	-46.3954075011	-916.825348043	129.774537617	177.789777063
Sample25	11.2344963025	12.777607536	10.6308193971	-665.962391074	-190.845348559	-120.655620071	105.488396644	257.429589546	-173.202358796	184.822434663
Sample26	13.5433378483	12.4330801507	11.6882732638	215.374455476	-31.9724853296	378.933107694	48.498673206	519.264756799	-228.853368789	245.978156526
Sample27	12.9471175835	13.7132044638	11.1375196815	104.191698674	-113.351447074	229.2036928	96.3675451663	-151.557566111	-196.199196588	76.0787623127
Sample28	16.4037493402	13.7606869257	11.5749062667	231.588944962	-466.572897341	-387.274745357	-31.4243196183	-317.828270177	381.072622759	-256.729011709
Sample29	13.3236555071	14.3642327912	14.1369259908	-149.763555742	227.253548756	-30.3636056626	183.581378102	206.512402251	-535.691535044	-248.423887278
Sample30	15.9819882762	13.478685894	13.9174534102	-13.0622662779	-489.391918557	203.183591399	-62.3281535651	-224.78936972	320.442536259	-147.283716131
Sample31	16.4566838487	14.4223378344	14.9162334	184.688917691	-604.497097276	29.3901638395	-10.4918442055	99.2548265882	90.518394684	-199.190628914
Sample32	15.6272132192	16.6314722081	15.7969913779	829.704178034	35.1225251747	254.648915381	-485.716263433	88.7854168694	4.59283929271	-288.49661903
Sample33	16.2124618756	15.2058834238	16.3762565486	369.640035801	-750.988689453	-491.547450268	-144.304141954	-160.102774681	179.855858743	734.086714693
