Sample	Gene0	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9
Sample0	-0.309565803001	1.03909149513	2.85839906545	211.967083257	-36.9030042343	39.3638930013	-204.004370239	34.1875750299	0.125001773844	-72.8596781643
Sample1	1.11903617049	0.0803226216354	1.55884031835	323.491443152	36.2264337986	26.1251058536	22.3256408109	363.10599029	-144.906697144	89.4140885448
Sample2	2.1571402598	0.494713000048	1.90896205212	-105.972289915	-202.184773957	-271.500580356	-8.66207035394	-272.246048221	255.184694194	-392.390384691
Sample3	1.73375591026	2.77384628211	2.11836511458	88.6307044015	-146.456838291	-51.8309716054	170.708170943	-170.030734793	369.401638433	39.6151695146
Sample4	2.46671391978	2.6732963542	2.27269853377	60.8300724246	-183.315894686	-225.957579942	-157.671548504	68.4416337202	132.120937476	133.09259064
Sample5	1.60525294042	3.16491807382	2.37809636192	-263.431041609	36.5613331337	-44.5413292721	265.92269937	-400.589666905	-50.1779218561	-96.4793621143
Sample6	4.45659778058	3.71565644882	4.21301808019	240.133432061	123.794146004	52.1201191226	490.146562289	692.652561839	-332.100959238	141.178049366
Sample7	5.59294844498	4.57861539317	2.0441555767	190.021119198	-229.557504332	-70.3757196581	154.271880138	237.88363062	-428.871553992	348.133975333
Sample8	5.94842455073	3.91067781953	4.14041008264	468.863795664	550.186240052	26.9838128317	-195.164935656	-13.0570281078	78.0437577518	-93.0897388579
Sample9	3.9006365079	6.08398141944	4.1869112416	-70.5687449574	299.966273569	29.3574662682	-142.944081494	39.4557216456	-261.080999674	8.07383264036
Sample10	6.04432545843	5.00505155426	1.36612647765	-216.11709487	99.0796404044	-166.12656853	203.973796576	524.418841697	60.9544144688	-335.998900338
Sample11	5.80411326137	5.73832190203	3.97463703135	239.986515161	-122.23354248	-416.049671544	269.095960206	-241.284281731	-161.177747685	-131.179787994
Sample12	6.46623681167	5.68458528454	4.56887370193	-340.981982085	-426.550309905	-198.09030473	-123.960544825	12.90981438	-149.367798088	303.962051962
Sample13	4.62210716416	8.14704166991	5.13465666936	296.446873762	714.024621957	-80.2572894388	-23.4232561781	6.26249097302	338.657215236	-376.879675816
Sample14	6.42588494164	6.00052659943	6.33556453396	38.3132442192	400.559047942	4.34854513829	290.43155535	102.040920709	-190.196688881	-99.6854711627
Sample15	7.56876324017	9.72839945549	5.34046074162	71.3268781461	4.51542694642	111.089789295	-59.8087373714	27.0623112148	-80.6625643528	38.9574411513
Sample16	7.9728002156	7.93291845003	5.81871220506	-364.91173108	214.163976648	119.821005548	505.892196735	-298.469980408	246.014270433	359.767357598
Sample17	6.11053680297	8.58191526148	7.80024238956	43.9691824798	-152.894713558	-221.02250589	395.561342735	-383.890866272	170.36444681	-95.1474656843
Sample18	10.1503750277	9.64322646161	7.94267363048	-125.24465061	-58.8166761618	-96.0107207939	251.832755102	207.207006567	446.559236793	278.090884748
Sample19	10.0267641811	11.6902027905	8.71849053182	205.012513189	-209.225579643	-12.9058962275	161.656703179	-263.334839366	-193.074891398	-5.02687348003
Sample20	9.54687725141	9.86544829571	9.20389316273	-42.6541763001	-315.218425101	100.473526054	-87.2272331138	-197.699145176	253.068922983	50.0994862468
Sample21	11.7994058843	11.1386159792	8.46088767678	42.6785808511	207.185895163	29.327566331	420.841346517	-12.0145848906	514.199138741	-392.377678429
Sample22	12.226152716	12.0546811975	9.64130676888	-292.931276185	140.661279433	-341.897609035	-244.646494599	85.8310640383	-3.40258794926	11.7166013346
Sample23	13.2459771678	13.1195747691	12.0012487202	-87.1654123008	-221.843833447	363.033613285	-42.4793895719	79.4275547545	-168.043083865	34.0313779639
